,count_down,movie_title,release_year,tomato_score,lead_role,actor_two,actor_three,actor_four,director,critics_consensus,synopsis,Opening,Studio,Medium
67,73,Tombstone,1993,72,Kurt Russell,Val Kilmer,Michael Biehn,Powers Boothe,George P. Cosmatos,"If you're seeking a stylish modern western with a solid story and a well-chosen ensemble cast, Tombstone is your huckleberry.","Wyatt Earp (Kurt Russell) and his brothers, Morgan (Bill Paxton) and Virgil (Sam Elliott), have left their gunslinger ways behind... [More]",DECEMBER,Hollywood Pictures / Cinergi Pictures,Live action
68,72,Casino,1995,79,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Martin Scorsese,Impressive ambition and bravura performances from an outstanding cast help Casino pay off in spite of a familiar narrative that may strike some viewers as a safe bet for director Martin Scorsese.,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein (Robert De Niro) gets tapped by his bosses to head the... [More]",NOVEMBER,Universal Pictures,Live action
69,71,Speed,1994,94,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,Jan de Bont,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.",Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt... [More],JUNE,20th Century Fox,Live action
70,70,Home Alone,1990,66,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,Chris Columbus,Home Alone uneven but frequently funny premise stretched unreasonably thin is buoyed by Macaulay Culkin's cute performance and strong supporting stars.,"When bratty 8-year-old Kevin McCallister (Macaulay Culkin) acts out the night before a family trip to Paris, his mother (Catherine... [More]",NOVEMBER,20th Century Fox / Hughes Entertainment,Live action
71,69,Falling Down,1993,75,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin,Joel Schumacher,Falling Down's popcorn-friendly take on its complex themes proves disquieting -- and ultimately fitting for a bleakly entertaining picture of one man's angry break with reality.,"A middle-aged man dealing with both unemployment and divorce, William Foster (Michael Douglas) is having a bad day. When his... [More]",FEBRUARY,Warner Bros. Pictures,Live action
72,68,Reality Bites,1994,63,Winona Ryder,Ethan Hawke,Ben Stiller,Janeane Garofalo,Ben Stiller,"Reality Bites may be too slick to fulfill its promise as a profound statement on Generation X, but an appealing ensemble and romantic sizzle make for an entertaining dive into the ennui of youth.","After college, Lelaina (Winona Ryder) films a documentary about herself and friends as they flounder in their attempts to forge... [More]",FEBRUARY,Universal Pictures / Jersey Films,Live action
73,67,William Shakespeare's Romeo & Juliet,1996,73,Leonardo DiCaprio,Claire Danes,Brian Dennehy,John Alberto Leguizamo,Baz Luhrmann,Baz Luhrmann's visual aesthetic is as divisive as it is fresh and inventive.,"Baz Luhrmann helped adapt this classic Shakespearean romantic tragedy for the screen, updating the setting to a post-modern city named... [More]",,,
74,66,The Crying Game,1992,94,Stephen Rea,Miranda Richardson,Forest Whitaker,Jim Broadbent,Neil Jordan,"The Crying Game is famous for its shocking twist, but this thoughtful, haunting mystery grips the viewer from start to finish.","Irish Republican Army member Fergus (Stephen Rea) forms an unexpected bond with Jody (Forest Whitaker), a kidnapped British soldier in... [More]",NOVEMBER,Miramax Films,Live action
75,66,The Crying Game,1992,94,Stephen Rea,Miranda Richardson,Forest Whitaker,Jim Broadbent,Neil Jordan,"The Crying Game is famous for its shocking twist, but this thoughtful, haunting mystery grips the viewer from start to finish.","Irish Republican Army member Fergus (Stephen Rea) forms an unexpected bond with Jody (Forest Whitaker), a kidnapped British soldier in... [More]",FEBRUARY,Miramax Films,Live action
76,65,Ghost in the Shell,1995,95,Richard George,Mimi Woods,William Frederick,Abe Lasser,Mamoru Oshii,"A stunning feat of modern animation, Ghost in the Shell offers a thoughtful, complex treat for anime fans, as well as a perfect introduction for viewers new to the medium.","In this Japanese animation, cyborg federal agent Maj. Motoko Kusanagi (Mimi Woods) trails ""The Puppet Master"" (Abe Lasser), who illegally... [More]",,,
77,64,True Romance,1993,93,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,Tony Scott,"Fueled by Quentin Tarantino's savvy screenplay and a gallery of oddball performances, Tony Scott's True Romance is a funny and violent action jaunt in the best sense.",A comic-book nerd and Elvis fanatic Clarence (Christian Slater) and a prostitute named Alabama (Patricia Arquette) fall in love. Clarence... [More],SEPTEMBER,Warner Bros. Pictures / Morgan Creek Productions,Live action
78,63,Independence Day,1996,67,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,Roland Emmerich,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.","In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the... [More]",JULY,20th Century Fox / Centropolis Entertainment,Live action
79,62,Point Break,1991,70,Patrick Swayze,Keanu Reeves,Gary Busey,Lori Petty,Kathryn Bigelow,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.","After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a... [More]",JULY,20th Century Fox / Largo Entertainment,Live action
80,61,Mrs. Doubtfire,1993,70,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,Chris Columbus,"On paper, Mrs. Doubtfire might seem excessively broad or sentimental, but Robin Williams shines so brightly in the title role that the end result is difficult to resist.","Troubled that he has little access to his children, divorced Daniel Hillard (Robin Williams) hatches an elaborate plan. With help... [More]",NOVEMBER,20th Century Fox,Live action
81,60,Election,1999,92,Matthew Broderick,Reese Witherspoon,Chris Klein,Jessica Campbell,Alexander Payne,Election successfully combines dark humor and intelligent writing in this very witty and enjoyable film.,"Jim McAllister (Matthew Broderick), a well-liked high school government teacher, can't help but notice that successful student Tracy Flick (Reese... [More]",APRIL,Paramount Pictures / MTV Productions,Live action
82,59,The Player,1992,98,Tim Robbins,Greta Scacchi,Fred Ward,Whoopi Goldberg,Robert Altman,"Bitingly cynical without succumbing to bitterness, The Player is one of the all-time great Hollywood satires -- and an ensemble-driven highlight of the Altman oeuvre.","Certain that the anonymous threats he's been receiving are the work of David Kahane (Vincent D'Onofrio), producer Griffin Mill (Tim... [More]",APRIL,Fine Line Features,Live action
