,Opening,Title,Studio,Medium
346,OCTOBER,Suburban Commando,New Line Cinema,Live action
347,OCTOBER,The Super,20th Century Fox / Largo Entertainment,Live action
348,OCTOBER,Babe Ruth,NBC Productions / Elliot Friedgen & Company / Warner Bros. Television,Live action
349,OCTOBER,Homicide,Triumph Films,Live action
350,OCTOBER,City of Hope,The Samuel Goldwyn Company,Live action
351,OCTOBER,Ernest Scared Stupid,Touchstone Pictures,Live action
352,OCTOBER,Frankie and Johnny,Paramount Pictures,Live action
353,OCTOBER,Shattered,Metro-Goldwyn-Mayer,Live action
354,OCTOBER,Stepping Out,Paramount Pictures,Live action
355,OCTOBER,The Taking of Beverly Hills,Columbia Pictures / Nelson Entertainment,Live action
356,OCTOBER,Cool as Ice,Universal Pictures,Live action
357,OCTOBER,Little Man Tate,Orion Pictures,Live action
358,OCTOBER,My Own Private Idaho,Fine Line Features,Live action
359,OCTOBER,Other People's Money,Warner Bros. Pictures,Live action
360,OCTOBER,Dynasty: The Reunion,ABC,Live action
361,OCTOBER,I Still Dream of Jeannie,NBC / Sony Pictures Television / Columbia Pictures Television,Live action
362,OCTOBER,Whore,Trimark Pictures,Live action
363,OCTOBER,Danielle Steel's Daddy,NBC Productions / The Cramer Company,Live action
364,OCTOBER,House Party 2,New Line Cinema,Live action
365,OCTOBER,The Butcher's Wife,Paramount Pictures,Live action
366,OCTOBER,Curly Sue,Warner Bros. Pictures / Hughes Entertainment,Live action
367,OCTOBER,The Hitman,"The Cannon Group, Inc.",Live action
368,OCTOBER,Life Is Sweet,Palace Pictures / Thin Man Films,Live action
369,OCTOBER,Two Evil Eyes,Taurus Entertainment Company,Live action
370,NOVEMBER,29th Street,20th Century Fox / Largo Entertainment,Live action
371,NOVEMBER,Billy Bathgate,Touchstone Pictures,Live action
372,NOVEMBER,Highlander II: The Quickening,Entertainment Film Distributors,Live action
373,NOVEMBER,The People Under the Stairs,Universal Pictures,Live action
374,NOVEMBER,Year of the Gun,Triumph Films,Live action
375,NOVEMBER,Prisoner of Honor,HBO Pictures / Warner Bros. Television,Live action
376,NOVEMBER,The Gambler Returns: The Luck of the Draw,NBC / Sony Pictures Television / Kenny Rogers Productions,Live action
377,NOVEMBER,All I Want for Christmas,Paramount Pictures,Live action
378,NOVEMBER,Strictly Business,Warner Bros. Pictures,Live action
379,NOVEMBER,Cape Fear,Universal Pictures / Amblin Entertainment,Live action
380,NOVEMBER,And You Thought Your Parents Were Weird,Trimark Pictures / Panorama,Live action
381,NOVEMBER,Kafka,Miramax Films,Live action
382,NOVEMBER,Meeting Venus,Warner Bros. Pictures,Live action
383,NOVEMBER,Prospero's Books,Miramax Films,Live action
384,NOVEMBER,Chance of a Lifetime,NBC Productions / Fries Entertainment / Lynn Roth Productions,Live action
385,NOVEMBER,The Addams Family,Paramount Pictures,Live action
386,NOVEMBER,An American Tail: Fievel Goes West,Universal Pictures / Amblimation,Animation
387,NOVEMBER,Beauty and the Beast,Walt Disney Pictures,Animation
388,NOVEMBER,The Double Life of Veronique,"Miramax Films / Sidéral Productions / Zespól Filmowy ""X"" / Norsk Film / Canal +",Live action
389,NOVEMBER,For the Boys,20th Century Fox,Live action
390,NOVEMBER,Hearts of Darkness: A Filmmaker's Apocalypse,American Zoetrope / Triton Pictures,Live action
391,NOVEMBER,My Girl,Columbia Pictures / Imagine Entertainment,Live action
392,DECEMBER,At Play in the Fields of the Lord,Universal Pictures,Live action
393,DECEMBER,Star Trek VI: The Undiscovered Country,Paramount Pictures,Live action
394,DECEMBER,Hook,TriStar Pictures / Amblin Entertainment,Live action
