,movie_title,release_year,movie_rating,director,star_one,star_two,star_three,star_four,movie_length,genre,imdb_metascore,imdb_stars,imdb_votes,imdb_gross,Opening,Studio,Medium,tomato_score
73,Liar Liar,1997,PG-13,Tom Shadyac,Jim Carrey,Maura Tierney,Amanda Donohoe,Jennifer Tilly,86,Comedy,70,6.9,"310,958",181.41,MARCH,Universal Pictures,Live action,83
74,Air Force One,1997,R,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,124,Action,61,6.5,"197,847",172.96,JULY,Columbia Pictures,Live action,79
75,As Good as It Gets,1997,PG-13,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,139,Comedy,67,7.7,"300,279",148.48,DECEMBER,TriStar Pictures,Live action,85
76,Good Will Hunting,1997,R,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,126,Drama,70,8.3,"965,481",138.43,DECEMBER,Miramax Films,Live action,97
77,My Best Friend's Wedding,1997,PG-13,P.J. Hogan,Julia Roberts,Dermot Mulroney,Cameron Diaz,Rupert Everett,105,Comedy,50,6.3,"144,124",127.12,JUNE,TriStar Pictures,Live action,73
78,Tomorrow Never Dies,1997,PG-13,Roger Spottiswoode,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher,119,Action,52,6.5,"196,014",125.33,DECEMBER,United Artists,Live action,56
79,Face/Off,1997,R,John Woo,John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola,138,Action,82,7.3,"379,182",112.23,JUNE,Paramount Pictures,Live action,92
80,Saving Private Ryan,1998,R,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,169,Drama,91,8.6,"1,386,912",216.54,JULY,DreamWorks,Live action,94
81,Armageddon,1998,PG-13,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,151,Action,42,6.7,"427,691",201.57,JULY,Touchstone Pictures,Live action,37
82,There's Something About Mary,1998,R,Bobby Farrelly,Peter Farrelly,Cameron Diaz,Matt Dillon,Ben Stiller,119,Comedy,69,7.1,"313,061",176.48,JULY,20th Century Fox,Live action,83
83,A Bug's Life,1998,G,John Lasseter,Andrew Stanton,Kevin Spacey,David Foley,Julia Louis-Dreyfus,95,Animation,77,7.2,"294,443",162.8,NOVEMBER,Walt Disney Pictures,Animation,92
84,The Waterboy,1998,PG-13,Frank Coraci,Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk,90,Comedy,41,6.1,"166,004",161.49,NOVEMBER,Touchstone Pictures,Live action,33
85,Doctor Dolittle,1998,PG-13,Betty Thomas,Eddie Murphy,Peter Boyle,Ossie Davis,Oliver Platt,85,Comedy,46,5.4,"97,904",144.16,JUNE,20th Century Fox,,41
86,Rush Hour,1998,PG-13,Brett Ratner,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,98,Action,60,7,"270,637",141.15,SEPTEMBER,New Line Cinema,Live action,61
87,Deep Impact,1998,PG-13,Mimi Leder,Robert Duvall,Téa Leoni,Elijah Wood,Morgan Freeman,120,Action,40,6.2,"180,035",140.46,MAY,Paramount Pictures,Live action,46
88,Godzilla,1998,PG-13,Roland Emmerich,Matthew Broderick,Jean Reno,Maria Pitillo,Hank Azaria,139,Action,32,5.4,"194,825",136.31,MAY,TriStar Pictures,Live action,16
89,Patch Adams,1998,PG-13,Tom Shadyac,Robin Williams,Daniel London,Monica Potter,Philip Seymour Hoffman,115,Biography,25,6.8,"114,751",135.03,DECEMBER,Universal Pictures,Live action,22
90,Star Wars: Episode I - The Phantom Menace,1999,PG,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,136,Action,51,6.5,"805,544",474.54,MAY,20th Century Fox,,51
91,The Sixth Sense,1999,PG-13,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,107,Drama,64,8.2,"991,076",293.51,AUGUST,Hollywood Pictures,Live action,86
92,Toy Story 2,1999,G,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,92,Animation,88,7.9,"581,601",245.85,NOVEMBER,Walt Disney Pictures,Animation,100
93,Austin Powers: The Spy Who Shagged Me,1999,PG-13,Jay Roach,Mike Myers,Heather Graham,Michael York,Robert Wagner,95,Action,59,6.6,"235,354",206.04,JUNE,New Line Cinema,Live action,53
94,The Matrix,1999,R,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,136,Action,73,8.7,"1,906,469",171.48,MARCH,Warner Bros. Pictures,Live action,88
95,Tarzan,1999,G,Chris Buck,Kevin Lima,Tony Goldwyn,Minnie Driver,Brian Blessed,88,Animation,79,7.3,"228,047",171.09,JUNE,Walt Disney Pictures,Animation,89
96,Big Daddy,1999,PG-13,Dennis Dugan,Adam Sandler,Joey Lauren Adams,Jon Stewart,Cole Sprouse,93,Comedy,41,6.4,"219,264",163.48,JUNE,Columbia Pictures,Live action,39
97,The Mummy,1999,PG-13,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,124,Action,48,7.1,"431,229",155.25,MAY,Universal Pictures,Live action,61
98,Runaway Bride,1999,PG,Garry Marshall,Julia Roberts,Richard Gere,Joan Cusack,Hector Elizondo,116,Comedy,39,5.6,"99,600",152.26,JULY,Paramount Pictures,Live action,46
99,The Blair Witch Project,1999,R,Daniel Myrick,Eduardo Sánchez,Heather Donahue,Michael C. Williams,Joshua Leonard,81,Horror,81,6.5,"263,815",140.54,JULY,Artisan Entertainment,Live action,86
